[1409] \Global\Bouncer\Behaviour\Idle\Hangout
[916] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\MeleeBehaviour\AttackLogic\FullNelson\HoldTargetforAlly\Hold\Exit
[915] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\MeleeBehaviour\AttackLogic\FullNelson\HoldTargetforAlly\Hold\FullNelson
[914] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\MeleeBehaviour\AttackLogic\FullNelson\HoldTargetforAlly\releaseTarget
[882] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\MeleeBehaviour\AttackLogic\GrappleCounter\BreakOut
[883] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\MeleeBehaviour\AttackLogic\GrappleCounter\BreakOut\Exit
[869] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\MeleeBehaviour\AttackLogic\GrappleCounter\Counter-Attacks\Disarm\Dummy
[861] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\MeleeBehaviour\AttackLogic\GrappleCounter\Counter-Attacks\Disarm\InRange\Defending
[862] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\MeleeBehaviour\AttackLogic\GrappleCounter\Counter-Attacks\Disarm\InRange\Disarm
[867] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\MeleeBehaviour\AttackLogic\GrappleCounter\Counter-Attacks\Disarm\InRange\Disarm\Dummy
[866] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\MeleeBehaviour\AttackLogic\GrappleCounter\Counter-Attacks\Disarm\InRange\Disarm\EndStruggle
[863] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\MeleeBehaviour\AttackLogic\GrappleCounter\Counter-Attacks\Disarm\InRange\Disarm\Struggle
[865] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\MeleeBehaviour\AttackLogic\GrappleCounter\Counter-Attacks\Disarm\InRange\Disarm\Struggle\Dummy
[864] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\MeleeBehaviour\AttackLogic\GrappleCounter\Counter-Attacks\Disarm\InRange\Disarm\Struggle\StruggleRequest
[868] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\MeleeBehaviour\AttackLogic\GrappleCounter\Counter-Attacks\Disarm\MoveIn
[860] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\MeleeBehaviour\AttackLogic\GrappleCounter\Counter-Attacks\Disarm\TargetNotAttackable
[881] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\MeleeBehaviour\AttackLogic\GrappleCounter\Counter-Attacks\Dummy
[879] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\MeleeBehaviour\AttackLogic\GrappleCounter\Counter-Attacks\MeleeAttack\Default\Dummy
[877] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\MeleeBehaviour\AttackLogic\GrappleCounter\Counter-Attacks\MeleeAttack\Default\InRange\Attack
[876] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\MeleeBehaviour\AttackLogic\GrappleCounter\Counter-Attacks\MeleeAttack\Default\InRange\Defending
[878] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\MeleeBehaviour\AttackLogic\GrappleCounter\Counter-Attacks\MeleeAttack\Default\MoveIn
[875] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\MeleeBehaviour\AttackLogic\GrappleCounter\Counter-Attacks\MeleeAttack\Default\TargetNotAttackable
[880] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\MeleeBehaviour\AttackLogic\GrappleCounter\Counter-Attacks\MeleeAttack\Dummy
[874] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\MeleeBehaviour\AttackLogic\GrappleCounter\Counter-Attacks\MeleeAttack\MidRange\Dummy
[872] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\MeleeBehaviour\AttackLogic\GrappleCounter\Counter-Attacks\MeleeAttack\MidRange\InRange\Attack
[871] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\MeleeBehaviour\AttackLogic\GrappleCounter\Counter-Attacks\MeleeAttack\MidRange\InRange\Defending
[873] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\MeleeBehaviour\AttackLogic\GrappleCounter\Counter-Attacks\MeleeAttack\MidRange\MoveIn
[870] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\MeleeBehaviour\AttackLogic\GrappleCounter\Counter-Attacks\MeleeAttack\MidRange\TargetNotAttackable
[897] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\MeleeBehaviour\AttackLogic\GroundPickup\PickupTarget
[900] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\MeleeBehaviour\AttackLogic\GroundPickup\PickupTarget\Behavior\Attack
[898] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\MeleeBehaviour\AttackLogic\GroundPickup\PickupTarget\Behavior\Exit
[899] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\MeleeBehaviour\AttackLogic\GroundPickup\PickupTarget\Behavior\PathTowards
[901] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\MeleeBehaviour\AttackLogic\GroundPickup\PickupTarget\Behavior\WaitTillFacing
[902] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\MeleeBehaviour\AttackLogic\GroundPickup\PickupTarget\FullNelson\HoldTargetforAlly
[905] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\MeleeBehaviour\AttackLogic\GroundPickup\PickupTarget\FullNelson\HoldTargetforAlly\Hold\Exit
[904] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\MeleeBehaviour\AttackLogic\GroundPickup\PickupTarget\FullNelson\HoldTargetforAlly\Hold\FullNelson
[903] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\MeleeBehaviour\AttackLogic\GroundPickup\PickupTarget\FullNelson\HoldTargetforAlly\releaseTarget
[926] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\MeleeBehaviour\AttackLogic\MeleeAttackRequest\Attack
[949] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\MeleeBehaviour\AttackLogic\MeleeAttackRequest\Attack\AttackInterruptedByHit
[936] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\MeleeBehaviour\AttackLogic\MeleeAttackRequest\Attack\Attacks\Disarm\Dummy
[928] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\MeleeBehaviour\AttackLogic\MeleeAttackRequest\Attack\Attacks\Disarm\InRange\Defending
[929] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\MeleeBehaviour\AttackLogic\MeleeAttackRequest\Attack\Attacks\Disarm\InRange\Disarm
[934] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\MeleeBehaviour\AttackLogic\MeleeAttackRequest\Attack\Attacks\Disarm\InRange\Disarm\Dummy
[933] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\MeleeBehaviour\AttackLogic\MeleeAttackRequest\Attack\Attacks\Disarm\InRange\Disarm\EndStruggle
[930] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\MeleeBehaviour\AttackLogic\MeleeAttackRequest\Attack\Attacks\Disarm\InRange\Disarm\Struggle
[932] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\MeleeBehaviour\AttackLogic\MeleeAttackRequest\Attack\Attacks\Disarm\InRange\Disarm\Struggle\Dummy
[931] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\MeleeBehaviour\AttackLogic\MeleeAttackRequest\Attack\Attacks\Disarm\InRange\Disarm\Struggle\StruggleRequest
[935] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\MeleeBehaviour\AttackLogic\MeleeAttackRequest\Attack\Attacks\Disarm\MoveIn
[927] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\MeleeBehaviour\AttackLogic\MeleeAttackRequest\Attack\Attacks\Disarm\TargetNotAttackable
[948] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\MeleeBehaviour\AttackLogic\MeleeAttackRequest\Attack\Attacks\Dummy
[946] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\MeleeBehaviour\AttackLogic\MeleeAttackRequest\Attack\Attacks\MeleeAttack\Default\Dummy
[944] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\MeleeBehaviour\AttackLogic\MeleeAttackRequest\Attack\Attacks\MeleeAttack\Default\InRange\Attack
[943] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\MeleeBehaviour\AttackLogic\MeleeAttackRequest\Attack\Attacks\MeleeAttack\Default\InRange\Defending
[945] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\MeleeBehaviour\AttackLogic\MeleeAttackRequest\Attack\Attacks\MeleeAttack\Default\MoveIn
[942] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\MeleeBehaviour\AttackLogic\MeleeAttackRequest\Attack\Attacks\MeleeAttack\Default\TargetNotAttackable
[947] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\MeleeBehaviour\AttackLogic\MeleeAttackRequest\Attack\Attacks\MeleeAttack\Dummy
[941] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\MeleeBehaviour\AttackLogic\MeleeAttackRequest\Attack\Attacks\MeleeAttack\MidRange\Dummy
[939] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\MeleeBehaviour\AttackLogic\MeleeAttackRequest\Attack\Attacks\MeleeAttack\MidRange\InRange\Attack
[938] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\MeleeBehaviour\AttackLogic\MeleeAttackRequest\Attack\Attacks\MeleeAttack\MidRange\InRange\Defending
[940] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\MeleeBehaviour\AttackLogic\MeleeAttackRequest\Attack\Attacks\MeleeAttack\MidRange\MoveIn
[937] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\MeleeBehaviour\AttackLogic\MeleeAttackRequest\Attack\Attacks\MeleeAttack\MidRange\TargetNotAttackable
[925] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\MeleeBehaviour\AttackLogic\RunningAttack\Dummy
[919] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\MeleeBehaviour\AttackLogic\RunningAttack\MoveIn
[921] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\MeleeBehaviour\AttackLogic\RunningAttack\MoveIn\Attack\Attack
[922] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\MeleeBehaviour\AttackLogic\RunningAttack\MoveIn\Attack\Dummy
[920] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\MeleeBehaviour\AttackLogic\RunningAttack\MoveIn\Attack\ThrowWeapon
[924] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\MeleeBehaviour\AttackLogic\RunningAttack\MoveIn\Dummy
[923] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\MeleeBehaviour\AttackLogic\RunningAttack\MoveIn\Exit
[906] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\MeleeBehaviour\AttackLogic\TagTeamAttack\TagTeamAttacker
[912] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\MeleeBehaviour\AttackLogic\TagTeamAttack\TagTeamAttacker\AttackInterruptedByHit
[910] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\MeleeBehaviour\AttackLogic\TagTeamAttack\TagTeamAttacker\Behavior\Attack
[907] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\MeleeBehaviour\AttackLogic\TagTeamAttack\TagTeamAttacker\Behavior\Exit
[908] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\MeleeBehaviour\AttackLogic\TagTeamAttack\TagTeamAttacker\Behavior\PathTowards\Jog
[909] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\MeleeBehaviour\AttackLogic\TagTeamAttack\TagTeamAttacker\Behavior\PathTowards\Strafe
[911] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\MeleeBehaviour\AttackLogic\TagTeamAttack\TagTeamAttacker\Behavior\WaitTillFacing
[859] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\MeleeBehaviour\CombatRegion\OutsideCombatRegion
[958] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\MeleeBehaviour\GetInFormation\Default
[961] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\MeleeBehaviour\GetInFormation\Default\ChangeFormation
[960] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\MeleeBehaviour\GetInFormation\Default\LocoState\Jog
[959] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\MeleeBehaviour\GetInFormation\Default\LocoState\Strafe
[951] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\MeleeBehaviour\GetInFormation\NextToAttack\Idle
[950] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\MeleeBehaviour\GetInFormation\NextToAttack\Move
[957] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\MeleeBehaviour\GetInFormation\StepAside
[952] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\MeleeBehaviour\GetInFormation\Unreachable
[953] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\MeleeBehaviour\GetInFormation\Unreachable\GetCloser\FindPosition
[954] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\MeleeBehaviour\GetInFormation\Unreachable\GetCloser\PathfindEnded
[955] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\MeleeBehaviour\GetInFormation\Unreachable\GetCloser\PathfindEnded\Taunt
[956] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\MeleeBehaviour\GetInFormation\Unreachable\GetCloser\PathfindEnded\Taunt\Speech
[843] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\MeleeBehaviour\MeleeReactions\GunFiredNearMe
[844] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\MeleeBehaviour\MeleeReactions\GunPointedNearMe
[845] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\MeleeBehaviour\MeleeReactions\PostComboGrab
[846] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\MeleeBehaviour\MeleeReactions\Taunted
[847] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\MeleeBehaviour\MeleeReactions\Taunted\Retaliate
[857] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\MeleeBehaviour\MeleeReactions\Taunted\Retaliate\Attacks\MeleeAttack\Default\Dummy
[855] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\MeleeBehaviour\MeleeReactions\Taunted\Retaliate\Attacks\MeleeAttack\Default\InRange\Attack
[854] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\MeleeBehaviour\MeleeReactions\Taunted\Retaliate\Attacks\MeleeAttack\Default\InRange\Defending
[856] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\MeleeBehaviour\MeleeReactions\Taunted\Retaliate\Attacks\MeleeAttack\Default\MoveIn
[853] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\MeleeBehaviour\MeleeReactions\Taunted\Retaliate\Attacks\MeleeAttack\Default\TargetNotAttackable
[858] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\MeleeBehaviour\MeleeReactions\Taunted\Retaliate\Attacks\MeleeAttack\Dummy
[852] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\MeleeBehaviour\MeleeReactions\Taunted\Retaliate\Attacks\MeleeAttack\MidRange\Dummy
[850] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\MeleeBehaviour\MeleeReactions\Taunted\Retaliate\Attacks\MeleeAttack\MidRange\InRange\Attack
[849] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\MeleeBehaviour\MeleeReactions\Taunted\Retaliate\Attacks\MeleeAttack\MidRange\InRange\Defending
[851] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\MeleeBehaviour\MeleeReactions\Taunted\Retaliate\Attacks\MeleeAttack\MidRange\MoveIn
[848] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\MeleeBehaviour\MeleeReactions\Taunted\Retaliate\Attacks\MeleeAttack\MidRange\TargetNotAttackable
[962] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\MeleeBehaviour\TauntMelee\0x23866161
[964] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\MeleeBehaviour\TauntMelee\0x23866161\Speech\BladedWeapon
[963] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\MeleeBehaviour\TauntMelee\0x23866161\Speech\Generic
[965] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\MeleeBehaviour\TauntMelee\0x23866161\Speech\Gun
[970] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\MeleeBehaviour\TauntMelee\TauntAI
[966] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\MeleeBehaviour\TauntMelee\TauntPlayer
[968] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\MeleeBehaviour\TauntMelee\TauntPlayer\Speech\BladedWeapon
[967] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\MeleeBehaviour\TauntMelee\TauntPlayer\Speech\Generic
[969] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\MeleeBehaviour\TauntMelee\TauntPlayer\Speech\Gun
[971] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\MeleeBehaviour\Wait\Idle
[974] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\MeleeBehaviour\Wait\Idle\ChangeFormation
[972] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\MeleeBehaviour\Wait\Idle\Stance\CombatStance
[973] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\MeleeBehaviour\Wait\Idle\Stance\Idle
[107] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\PullTargetFromVehicle\PullTargetFromVehicle\PullTargetFromVehicle
[116] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\PullTargetFromVehicle\PullTargetFromVehicle\PullTargetFromVehicle\SetupTarget\BikeDriver
[119] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\PullTargetFromVehicle\PullTargetFromVehicle\PullTargetFromVehicle\SetupTarget\NeitherDriverNorPassenger_BAD
[117] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\PullTargetFromVehicle\PullTargetFromVehicle\PullTargetFromVehicle\SetupTarget\TargetDriver
[118] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\PullTargetFromVehicle\PullTargetFromVehicle\PullTargetFromVehicle\SetupTarget\TargetPassenger
[108] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\PullTargetFromVehicle\PullTargetFromVehicle\PullTargetFromVehicle\Spawn\Behaviour
[109] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\PullTargetFromVehicle\PullTargetFromVehicle\PullTargetFromVehicle\Spawn\Behaviour\Align
[114] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\PullTargetFromVehicle\PullTargetFromVehicle\PullTargetFromVehicle\Spawn\Behaviour\InteractionPointPathfind\Jog
[113] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\PullTargetFromVehicle\PullTargetFromVehicle\PullTargetFromVehicle\Spawn\Behaviour\InteractionPointPathfind\Run
[115] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\PullTargetFromVehicle\PullTargetFromVehicle\PullTargetFromVehicle\Spawn\Behaviour\InteractionPointPathfind\Walk
[110] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\PullTargetFromVehicle\PullTargetFromVehicle\PullTargetFromVehicle\Spawn\Behaviour\Request\PullTarget\BikeScooter
[111] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\PullTargetFromVehicle\PullTargetFromVehicle\PullTargetFromVehicle\Spawn\Behaviour\Request\PullTarget\Car
[112] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\PullTargetFromVehicle\PullTargetFromVehicle\PullTargetFromVehicle\Spawn\Behaviour\Request\TooFar
[120] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\PullTargetFromVehicle\PullTargetFromVehicle\Queries\IsDone
[505] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns
[842] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\AggressionProgression\GetAggressive
[839] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\AggressionProgression\NeverSeen
[841] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\AggressionProgression\ReleaseCombatRegion
[840] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\AggressionProgression\SeenTimer
[837] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Firing\Conditions\NoFire
[838] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Firing\Conditions\UninterruptibleTarget
[798] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Firing\Fire
[834] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Firing\Fire\RangedAttack\Dummy
[799] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Firing\Fire\RangedAttack\StandUp
[826] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Firing\Fire\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringAutomatic
[827] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Firing\Fire\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringAutomatic\RangedAttackAutomatic
[829] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Firing\Fire\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringAutomatic\RangedAttackAutomatic\TriggerPulled\FireWeapon
[830] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Firing\Fire\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringAutomatic\RangedAttackAutomatic\TriggerPulled\Wait
[828] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Firing\Fire\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringAutomatic\RangedAttackAutomatic\WaitAfterFiringAutomatic
[823] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Firing\Fire\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringCombatShotgun
