[6195] \Global\Thug\MasterSpawn
[7205] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Firing\Fire\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringShotgun
[7206] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Firing\Fire\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringShotgun\RangedAttackShotgun
[7207] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Firing\Fire\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringShotgun\RangedAttackShotgun\WaitAfterFiringShotgun
[7194] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Firing\Fire\RangedAttack\StandUp\Range\FireNear\WaitBeforeFiringAutomatic
[7195] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Firing\Fire\RangedAttack\StandUp\Range\FireNear\WaitBeforeFiringAutomatic\RangedAttackAutomatic
[7197] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Firing\Fire\RangedAttack\StandUp\Range\FireNear\WaitBeforeFiringAutomatic\RangedAttackAutomatic\TriggerPulled\FireWeapon
[7198] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Firing\Fire\RangedAttack\StandUp\Range\FireNear\WaitBeforeFiringAutomatic\RangedAttackAutomatic\TriggerPulled\Wait
[7196] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Firing\Fire\RangedAttack\StandUp\Range\FireNear\WaitBeforeFiringAutomatic\RangedAttackAutomatic\WaitAfterFiringAutomatic
[7191] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Firing\Fire\RangedAttack\StandUp\Range\FireNear\WaitBeforeFiringCombatShotgun
[7192] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Firing\Fire\RangedAttack\StandUp\Range\FireNear\WaitBeforeFiringCombatShotgun\RangedAttackCombatShotgun
[7193] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Firing\Fire\RangedAttack\StandUp\Range\FireNear\WaitBeforeFiringCombatShotgun\RangedAttackCombatShotgun\WaitAfterFiringCombatShotgun
[7185] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Firing\Fire\RangedAttack\StandUp\Range\FireNear\WaitBeforeFiringGrenadeLauncher
[7186] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Firing\Fire\RangedAttack\StandUp\Range\FireNear\WaitBeforeFiringGrenadeLauncher\RangedAttackGrenadeLauncher
[7187] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Firing\Fire\RangedAttack\StandUp\Range\FireNear\WaitBeforeFiringGrenadeLauncher\RangedAttackGrenadeLauncher\WaitAfterFiringGrenadeLauncher
[7199] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Firing\Fire\RangedAttack\StandUp\Range\FireNear\WaitBeforeFiringPistol
[7200] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Firing\Fire\RangedAttack\StandUp\Range\FireNear\WaitBeforeFiringPistol\RangedAttackPistol
[7201] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Firing\Fire\RangedAttack\StandUp\Range\FireNear\WaitBeforeFiringPistol\RangedAttackPistol\WaitAfterFiringPistol
[7188] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Firing\Fire\RangedAttack\StandUp\Range\FireNear\WaitBeforeFiringShotgun
[7189] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Firing\Fire\RangedAttack\StandUp\Range\FireNear\WaitBeforeFiringShotgun\RangedAttackShotgun
[7190] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Firing\Fire\RangedAttack\StandUp\Range\FireNear\WaitBeforeFiringShotgun\RangedAttackShotgun\WaitAfterFiringShotgun
[7221] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Firing\Fire\RangedAttack\Util\AttackRightsSpawn\AlwaysMiss
[7220] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Firing\Fire\RangedAttack\Util\AttackRightsSpawn\AttackRightsAcquired
[7182] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Firing\NoFire
[7178] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Firing\Reload
[7179] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Firing\Reload\Reload\Reload
[7181] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Firing\TargetUninterruptible\PostNoFireDelay
[7180] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Firing\TargetUninterruptible\TargetUninterruptible
[6892] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\LineOfSight\HasLOS\LineOfSightToFocus_KEY
[6891] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\LineOfSight\HasLOS\ReactionTime
[6893] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\LineOfSight\NoLineOfSight
[6936] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\CoverInvalidated
[6938] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\CoverInvalidated\Actions\IdleFindCover
[6937] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\CoverInvalidated\Actions\Move
[6932] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\FindQuickCover
[6939] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\GetLineOfSight
[6940] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\GetLineOfSight\MoveToPosition\MoveToBetterCombatPosition
[6941] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\GetLineOfSight\MoveToPosition\MoveToBetterCombatPosition\Speed\Sprint
[6942] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\GetLineOfSight\MoveToPosition\MoveToBetterCombatPosition\Speed\Strafe
[6943] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\GetLineOfSight\MoveToPosition\Wait
[6929] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\InCover
[6931] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\InCover\FindNewCoverSpawn\CoverSearch
[6930] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\InCover\FindNewCoverSpawn\Wait
[6922] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\MoveToCombatRegion
[6925] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\MoveToCombatRegion\FindNewCoverSpawn\CoverSearch
[6923] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\MoveToCombatRegion\FindNewCoverSpawn\InitialWait
[6924] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\MoveToCombatRegion\FindNewCoverSpawn\Wait
[6926] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\MoveToCover
[6928] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\MoveToCover\FindNewCoverSpawn\CoverSearch
[6927] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\MoveToCover\FindNewCoverSpawn\Wait
[6901] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\PlayingHitReaction
[6903] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\PlayingHitReaction\EnterCover\NoCover
[6902] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\PlayingHitReaction\EnterCover\ReenterCover
[6904] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\PlayingHitReaction\Wait
[6933] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\StandAndShoot
[6934] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\StandAndShoot\FindNewCoverSpawn\CoverSearch
[6935] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\StandAndShoot\FindNewCoverSpawn\Wait
[6905] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\TargetTooClose
[6907] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\TargetTooClose\Movement\Move\MoveToCover
[6908] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\TargetTooClose\Movement\Move\PossiblyMove
[6910] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\TargetTooClose\Movement\Move\PossiblyMove\FindNewCoverSpawn\CoverSearch
[6909] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\TargetTooClose\Movement\Move\PossiblyMove\FindNewCoverSpawn\Wait
[6906] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\TargetTooClose\Movement\Wait
[6911] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\TargetTooFar
[6919] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\TargetTooFar\Movement\FindPosition
[6920] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\TargetTooFar\Movement\FindPosition\Speed\Sprint
[6921] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\TargetTooFar\Movement\FindPosition\Speed\Strafe
[6918] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\TargetTooFar\Movement\PathfindEnded
[6912] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\TargetTooFar\Movement\Sprint
[6913] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\TargetTooFar\Movement\Sprint\ShootIfCannotPathfind\Moving
[6914] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\TargetTooFar\Movement\Sprint\ShootIfCannotPathfind\Still
[6915] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\TargetTooFar\Movement\Strafe
[6916] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\TargetTooFar\Movement\Strafe\FindNewCoverSpawn\CoverSearch
[6917] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\TargetTooFar\Movement\Strafe\FindNewCoverSpawn\Wait
[7174] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\Util\CoverSearch\CombatRegionSearch
[7171] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\Util\CoverSearch\NormalSearch\CoverSearch\Aggressive
[7173] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\Util\CoverSearch\NormalSearch\CoverSearch\Balanced
[7168] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\Util\CoverSearch\NormalSearch\CoverSearch\CombatRegion\Aggressive
[7170] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\Util\CoverSearch\NormalSearch\CoverSearch\CombatRegion\Balanced
[7169] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\Util\CoverSearch\NormalSearch\CoverSearch\CombatRegion\Defensive
[7172] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\Util\CoverSearch\NormalSearch\CoverSearch\Defensive
[7166] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\Util\CoverSearch\QuickCover\Aggressive
[7167] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\Util\CoverSearch\QuickCover\Default
[7176] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\Util\ForceFire_KEY
[7175] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\Util\HoldFire_KEY
[7165] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\Util\InCover\EnterCover
[6954] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\Util\InCover\InCover
[6974] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\Util\InCover\InCover\0x1BD18C3D\0x4292A718\FireBack
[6973] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\Util\InCover\InCover\0x1BD18C3D\0x4292A718\OpportunityAttack
[6977] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\Util\InCover\InCover\0x1BD18C3D\Aggressive\Attack\Fire
[7013] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\Util\InCover\InCover\0x1BD18C3D\Aggressive\Attack\Fire\RangedAttack\Dummy
[6978] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\Util\InCover\InCover\0x1BD18C3D\Aggressive\Attack\Fire\RangedAttack\StandUp
[7005] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\Util\InCover\InCover\0x1BD18C3D\Aggressive\Attack\Fire\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringAutomatic
[7006] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\Util\InCover\InCover\0x1BD18C3D\Aggressive\Attack\Fire\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringAutomatic\RangedAttackAutomatic
[7008] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\Util\InCover\InCover\0x1BD18C3D\Aggressive\Attack\Fire\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringAutomatic\RangedAttackAutomatic\TriggerPulled\FireWeapon
[7009] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\Util\InCover\InCover\0x1BD18C3D\Aggressive\Attack\Fire\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringAutomatic\RangedAttackAutomatic\TriggerPulled\Wait
[7007] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\Util\InCover\InCover\0x1BD18C3D\Aggressive\Attack\Fire\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringAutomatic\RangedAttackAutomatic\WaitAfterFiringAutomatic
[7002] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\Util\InCover\InCover\0x1BD18C3D\Aggressive\Attack\Fire\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringCombatShotgun
[7003] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\Util\InCover\InCover\0x1BD18C3D\Aggressive\Attack\Fire\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringCombatShotgun\RangedAttackCombatShotgun
[7004] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\Util\InCover\InCover\0x1BD18C3D\Aggressive\Attack\Fire\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringCombatShotgun\RangedAttackCombatShotgun\WaitAfterFiringCombatShotgun
[6996] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\Util\InCover\InCover\0x1BD18C3D\Aggressive\Attack\Fire\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringGrenadeLauncher
[6997] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\Util\InCover\InCover\0x1BD18C3D\Aggressive\Attack\Fire\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringGrenadeLauncher\RangedAttackGrenadeLauncher
[6998] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\Util\InCover\InCover\0x1BD18C3D\Aggressive\Attack\Fire\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringGrenadeLauncher\RangedAttackGrenadeLauncher\WaitAfterFiringGrenadeLauncher
[7010] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\Util\InCover\InCover\0x1BD18C3D\Aggressive\Attack\Fire\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringPistol
[7011] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\Util\InCover\InCover\0x1BD18C3D\Aggressive\Attack\Fire\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringPistol\RangedAttackPistol
[7012] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\Util\InCover\InCover\0x1BD18C3D\Aggressive\Attack\Fire\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringPistol\RangedAttackPistol\WaitAfterFiringPistol
[6999] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\Util\InCover\InCover\0x1BD18C3D\Aggressive\Attack\Fire\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringShotgun
[7000] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\Util\InCover\InCover\0x1BD18C3D\Aggressive\Attack\Fire\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringShotgun\RangedAttackShotgun
[7001] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\Util\InCover\InCover\0x1BD18C3D\Aggressive\Attack\Fire\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringShotgun\RangedAttackShotgun\WaitAfterFiringShotgun
[6988] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\Util\InCover\InCover\0x1BD18C3D\Aggressive\Attack\Fire\RangedAttack\StandUp\Range\FireNear\WaitBeforeFiringAutomatic
[6989] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\Util\InCover\InCover\0x1BD18C3D\Aggressive\Attack\Fire\RangedAttack\StandUp\Range\FireNear\WaitBeforeFiringAutomatic\RangedAttackAutomatic
[6991] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\Util\InCover\InCover\0x1BD18C3D\Aggressive\Attack\Fire\RangedAttack\StandUp\Range\FireNear\WaitBeforeFiringAutomatic\RangedAttackAutomatic\TriggerPulled\FireWeapon
[6992] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\Util\InCover\InCover\0x1BD18C3D\Aggressive\Attack\Fire\RangedAttack\StandUp\Range\FireNear\WaitBeforeFiringAutomatic\RangedAttackAutomatic\TriggerPulled\Wait
[6990] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\Util\InCover\InCover\0x1BD18C3D\Aggressive\Attack\Fire\RangedAttack\StandUp\Range\FireNear\WaitBeforeFiringAutomatic\RangedAttackAutomatic\WaitAfterFiringAutomatic
[6985] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\Util\InCover\InCover\0x1BD18C3D\Aggressive\Attack\Fire\RangedAttack\StandUp\Range\FireNear\WaitBeforeFiringCombatShotgun
[6986] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\Util\InCover\InCover\0x1BD18C3D\Aggressive\Attack\Fire\RangedAttack\StandUp\Range\FireNear\WaitBeforeFiringCombatShotgun\RangedAttackCombatShotgun
[6987] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\Util\InCover\InCover\0x1BD18C3D\Aggressive\Attack\Fire\RangedAttack\StandUp\Range\FireNear\WaitBeforeFiringCombatShotgun\RangedAttackCombatShotgun\WaitAfterFiringCombatShotgun
[6979] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\Util\InCover\InCover\0x1BD18C3D\Aggressive\Attack\Fire\RangedAttack\StandUp\Range\FireNear\WaitBeforeFiringGrenadeLauncher
[6980] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\RangedBehaviour\RangedSpawns\Main\Util\InCover\InCover\0x1BD18C3D\Aggressive\Attack\Fire\RangedAttack\StandUp\Range\FireNear\WaitBeforeFiringGrenadeLauncher\RangedAttackGrenadeLauncher
