[20350] \Global\Scooter\Interactions\MasterSpawn
[20614] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Utility\ImpactDamageEffect\Ragdoll\Utility\RagdollCollisionSpawns
[20625] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Utility\ImpactDamageEffect\Ragdoll\Utility\RagdollCollisionSpawns\RagdollAttackSpheres\HighSpeed\Heavy
[20628] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Utility\ImpactDamageEffect\Ragdoll\Utility\RagdollCollisionSpawns\RagdollAttackSpheres\Idle
[20627] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Utility\ImpactDamageEffect\Ragdoll\Utility\RagdollCollisionSpawns\RagdollAttackSpheres\LowSpeed\Nudge
[20626] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Utility\ImpactDamageEffect\Ragdoll\Utility\RagdollCollisionSpawns\RagdollAttackSpheres\MediumSpeed\Bump
[20624] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Utility\ImpactDamageEffect\Ragdoll\Utility\RagdollCollisionSpawns\RagdollAttackSpheres\VeryHighSpeed\Knockdown
[20616] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Utility\ImpactDamageEffect\Ragdoll\Utility\RagdollCollisionSpawns\RagdollCollisionDamage\HighSpeed\ClothingBuffed
[20617] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Utility\ImpactDamageEffect\Ragdoll\Utility\RagdollCollisionSpawns\RagdollCollisionDamage\HighSpeed\Impact
[20622] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Utility\ImpactDamageEffect\Ragdoll\Utility\RagdollCollisionSpawns\RagdollCollisionDamage\Idle
[20620] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Utility\ImpactDamageEffect\Ragdoll\Utility\RagdollCollisionSpawns\RagdollCollisionDamage\LowSpeed\ClothingBuffed
[20621] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Utility\ImpactDamageEffect\Ragdoll\Utility\RagdollCollisionSpawns\RagdollCollisionDamage\LowSpeed\Impact
[20618] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Utility\ImpactDamageEffect\Ragdoll\Utility\RagdollCollisionSpawns\RagdollCollisionDamage\MediumSpeed\ClothingBuffed
[20619] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Utility\ImpactDamageEffect\Ragdoll\Utility\RagdollCollisionSpawns\RagdollCollisionDamage\MediumSpeed\Impact
[20623] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Utility\ImpactDamageEffect\Ragdoll\Utility\RagdollCollisionSpawns\RagdollCollisionDamage\Release
[20615] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Utility\ImpactDamageEffect\Ragdoll\Utility\RagdollCollisionSpawns\RagdollCollisionDamage\VeryHighSpeed\Impact
[20629] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Utility\ImpactDamageEffect\Ragdoll\Utility\RagdollCollisionSpawns\RagdollFrictionSwitch\HighFriction\IncreaseFriction!
[20630] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Utility\ImpactDamageEffect\Ragdoll\Utility\RagdollCollisionSpawns\RagdollFrictionSwitch\Lubed
[20632] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Utility\ImpactDamageEffect\Ragdoll\Utility\RagdollCollisionSpawns\RagdollSpeed\HighSpeedCheck
[20635] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Utility\ImpactDamageEffect\Ragdoll\Utility\RagdollCollisionSpawns\RagdollSpeed\Idle
[20634] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Utility\ImpactDamageEffect\Ragdoll\Utility\RagdollCollisionSpawns\RagdollSpeed\LowSpeedCheck
[20633] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Utility\ImpactDamageEffect\Ragdoll\Utility\RagdollCollisionSpawns\RagdollSpeed\MediumSpeedCheck
[20631] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Utility\ImpactDamageEffect\Ragdoll\Utility\RagdollCollisionSpawns\RagdollSpeed\VeryHighSpeedCheck
[20639] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Utility\ImpactDamageEffect\Ragdoll\Utility\RagdollCollisionSpawns\Test\RagdollLimp
[20641] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Utility\ImpactDamageEffect\Ragdoll\Utility\RagdollCollisionSpawns\Test\RagdollLimp\Kick\PelvisDown
[20640] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Utility\ImpactDamageEffect\Ragdoll\Utility\RagdollCollisionSpawns\Test\RagdollLimp\Kick\PelvisUp
[20636] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Utility\ImpactDamageEffect\Ragdoll\Utility\RagdollCollisionSpawns\Test\TargetPlay
[20637] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Utility\ImpactDamageEffect\Ragdoll\Utility\RagdollCollisionSpawns\Test\TargetPlay\Impulse\KickDown
[20638] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Utility\ImpactDamageEffect\Ragdoll\Utility\RagdollCollisionSpawns\Test\TargetPlay\Impulse\Kickup
[20642] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Utility\ImpactDamageEffect\Ragdoll\Utility\SpeedTest\Release
[20446] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\Ride
[20445] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\RideBackwards
[20482] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\Ride\DriverReactions\Cower\Female
[20483] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\Ride\DriverReactions\Cower\Female\CowerExit
[20484] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\Ride\DriverReactions\Cower\Male
[20485] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\Ride\DriverReactions\Cower\Male\CowerExit
[20486] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\Ride\DriverReactions\CrouchCower\Female
[20487] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\Ride\DriverReactions\CrouchCower\Female\Exit
[20488] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\Ride\DriverReactions\CrouchCower\Male
[20489] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\Ride\DriverReactions\CrouchCower\Male\Exit
[20490] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\Ride\DriverReactions\Idle
[20476] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\Ride\DriverReactions\TellOff\Female\One
[20478] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\Ride\DriverReactions\TellOff\Female\Three
[20477] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\Ride\DriverReactions\TellOff\Female\Two
[20479] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\Ride\DriverReactions\TellOff\Male\One
[20481] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\Ride\DriverReactions\TellOff\Male\Three
[20480] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\Ride\DriverReactions\TellOff\Male\Two
[20449] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\Ride\GunLogic\Aiming
[20452] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\Ride\GunLogic\Aiming\Anims\Player\Lft
[20453] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\Ride\GunLogic\Aiming\Anims\Player\Lft\TransitToRight
[20450] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\Ride\GunLogic\Aiming\Anims\Player\Rit
[20451] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\Ride\GunLogic\Aiming\Anims\Player\Rit\TransitToLeft
[20454] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\Ride\GunLogic\Aiming\Fire
[20455] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\Ride\GunLogic\Aiming\ReloadWhileAiming
[20460] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\Ride\GunLogic\Aiming\ReloadWhileAiming\AnimsGunObject\AssaultRifle\AssaultRifle
[20459] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\Ride\GunLogic\Aiming\ReloadWhileAiming\AnimsGunObject\AssaultRifle\GrenadeLauncher_Primary
[20464] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\Ride\GunLogic\Aiming\ReloadWhileAiming\AnimsGunObject\GrenadeLauncher_Secondary
[20458] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\Ride\GunLogic\Aiming\ReloadWhileAiming\AnimsGunObject\Handgun
[20463] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\Ride\GunLogic\Aiming\ReloadWhileAiming\AnimsGunObject\SMG
[20457] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\Ride\GunLogic\Aiming\ReloadWhileAiming\AnimsGunObject\SMG30
[20462] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\Ride\GunLogic\Aiming\ReloadWhileAiming\AnimsGunObject\ShotgunPump
[20461] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\Ride\GunLogic\Aiming\ReloadWhileAiming\AnimsGunObject\ShotgunSemiAuto
[20456] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\Ride\GunLogic\Aiming\ReloadWhileAiming\TargetReload
[20465] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\Ride\GunLogic\NotAiming
[20466] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\Ride\GunLogic\NotAiming\ReloadWhileSitting
[20471] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\Ride\GunLogic\NotAiming\ReloadWhileSitting\AnimsGunObject\AssaultRifle\AssaultRifle
[20470] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\Ride\GunLogic\NotAiming\ReloadWhileSitting\AnimsGunObject\AssaultRifle\GrenadeLauncher_Primary
[20475] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\Ride\GunLogic\NotAiming\ReloadWhileSitting\AnimsGunObject\GrenadeLauncher_Secondary
[20469] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\Ride\GunLogic\NotAiming\ReloadWhileSitting\AnimsGunObject\Handgun
[20474] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\Ride\GunLogic\NotAiming\ReloadWhileSitting\AnimsGunObject\SMG
[20468] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\Ride\GunLogic\NotAiming\ReloadWhileSitting\AnimsGunObject\SMG30
[20473] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\Ride\GunLogic\NotAiming\ReloadWhileSitting\AnimsGunObject\ShotgunPump
[20472] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\Ride\GunLogic\NotAiming\ReloadWhileSitting\AnimsGunObject\ShotgunSemiAuto
[20467] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\Ride\GunLogic\NotAiming\ReloadWhileSitting\TargetReload
[20448] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\Ride\GunLogic\QuickDraw\Pistol
[20447] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\Ride\GunLogic\QuickDraw\SMG
[20415] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\Stand_idle
[20418] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\Stand_idle\GunLogic\Aiming
[20421] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\Stand_idle\GunLogic\Aiming\Anims\Player\Lft
[20422] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\Stand_idle\GunLogic\Aiming\Anims\Player\Lft\TransitToRight
[20419] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\Stand_idle\GunLogic\Aiming\Anims\Player\Rit
[20420] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\Stand_idle\GunLogic\Aiming\Anims\Player\Rit\TransitToLeft
[20423] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\Stand_idle\GunLogic\Aiming\Fire
[20424] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\Stand_idle\GunLogic\Aiming\ReloadWhileAiming
[20429] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\Stand_idle\GunLogic\Aiming\ReloadWhileAiming\AnimsGunObject\AssaultRifle\AssaultRifle
[20428] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\Stand_idle\GunLogic\Aiming\ReloadWhileAiming\AnimsGunObject\AssaultRifle\GrenadeLauncher_Primary
[20433] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\Stand_idle\GunLogic\Aiming\ReloadWhileAiming\AnimsGunObject\GrenadeLauncher_Secondary
[20427] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\Stand_idle\GunLogic\Aiming\ReloadWhileAiming\AnimsGunObject\Handgun
[20432] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\Stand_idle\GunLogic\Aiming\ReloadWhileAiming\AnimsGunObject\SMG
[20426] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\Stand_idle\GunLogic\Aiming\ReloadWhileAiming\AnimsGunObject\SMG30
[20431] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\Stand_idle\GunLogic\Aiming\ReloadWhileAiming\AnimsGunObject\ShotgunPump
[20430] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\Stand_idle\GunLogic\Aiming\ReloadWhileAiming\AnimsGunObject\ShotgunSemiAuto
[20425] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\Stand_idle\GunLogic\Aiming\ReloadWhileAiming\TargetReload
[20434] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\Stand_idle\GunLogic\NotAiming
[20435] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\Stand_idle\GunLogic\NotAiming\ReloadWhileSitting
[20440] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\Stand_idle\GunLogic\NotAiming\ReloadWhileSitting\AnimsGunObject\AssaultRifle\AssaultRifle
[20439] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\Stand_idle\GunLogic\NotAiming\ReloadWhileSitting\AnimsGunObject\AssaultRifle\GrenadeLauncher_Primary
[20444] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\Stand_idle\GunLogic\NotAiming\ReloadWhileSitting\AnimsGunObject\GrenadeLauncher_Secondary
[20438] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\Stand_idle\GunLogic\NotAiming\ReloadWhileSitting\AnimsGunObject\Handgun
[20443] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\Stand_idle\GunLogic\NotAiming\ReloadWhileSitting\AnimsGunObject\SMG
[20437] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\Stand_idle\GunLogic\NotAiming\ReloadWhileSitting\AnimsGunObject\SMG30
[20442] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\Stand_idle\GunLogic\NotAiming\ReloadWhileSitting\AnimsGunObject\ShotgunPump
[20441] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\Stand_idle\GunLogic\NotAiming\ReloadWhileSitting\AnimsGunObject\ShotgunSemiAuto
[20436] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\Stand_idle\GunLogic\NotAiming\ReloadWhileSitting\TargetReload
[20417] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\Stand_idle\GunLogic\QuickDraw\Pistol
[20416] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\Stand_idle\GunLogic\QuickDraw\SMG
[20652] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\StimulusReaction\WitnessAccident
[20653] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\StimulusReaction\WitnessAccidentMoving
[20654] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\Utility\0x801D2FBE
[20414] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\WaitForAnimsToLoad
[20665] \Global\Scooter\Interactions\VehiclePDASpawn\Spawn
[20712] \Global\Scooter\Interactions\VehiclePDASpawn\Spawn\Spawn\PDAActions\AutoStow\ActionHijack
[20713] \Global\Scooter\Interactions\VehiclePDASpawn\Spawn\Spawn\PDAActions\AutoStow\ActionHijack\Anims\Bike
[20715] \Global\Scooter\Interactions\VehiclePDASpawn\Spawn\Spawn\PDAActions\AutoStow\ActionHijack\Anims\Default
[20714] \Global\Scooter\Interactions\VehiclePDASpawn\Spawn\Spawn\PDAActions\AutoStow\ActionHijack\Anims\Scooter
[20708] \Global\Scooter\Interactions\VehiclePDASpawn\Spawn\Spawn\PDAActions\AutoStow\Aiming
[20709] \Global\Scooter\Interactions\VehiclePDASpawn\Spawn\Spawn\PDAActions\AutoStow\Aiming\Anims\Bike
[20711] \Global\Scooter\Interactions\VehiclePDASpawn\Spawn\Spawn\PDAActions\AutoStow\Aiming\Anims\Default
[20710] \Global\Scooter\Interactions\VehiclePDASpawn\Spawn\Spawn\PDAActions\AutoStow\Aiming\Anims\Scooter
[20704] \Global\Scooter\Interactions\VehiclePDASpawn\Spawn\Spawn\PDAActions\AutoStow\UINotActive
[20705] \Global\Scooter\Interactions\VehiclePDASpawn\Spawn\Spawn\PDAActions\AutoStow\UINotActive\Anims\Bike
[20707] \Global\Scooter\Interactions\VehiclePDASpawn\Spawn\Spawn\PDAActions\AutoStow\UINotActive\Anims\Default
[20706] \Global\Scooter\Interactions\VehiclePDASpawn\Spawn\Spawn\PDAActions\AutoStow\UINotActive\Anims\Scooter
[20670] \Global\Scooter\Interactions\VehiclePDASpawn\Spawn\Spawn\PDAActions\Camera\StowCamera
[20671] \Global\Scooter\Interactions\VehiclePDASpawn\Spawn\Spawn\PDAActions\Camera\StowCamera\Anims\Bike
[20673] \Global\Scooter\Interactions\VehiclePDASpawn\Spawn\Spawn\PDAActions\Camera\StowCamera\Anims\Default
[20672] \Global\Scooter\Interactions\VehiclePDASpawn\Spawn\Spawn\PDAActions\Camera\StowCamera\Anims\Scooter
[20674] \Global\Scooter\Interactions\VehiclePDASpawn\Spawn\Spawn\PDAActions\Contacts\CloseContacts
[20675] \Global\Scooter\Interactions\VehiclePDASpawn\Spawn\Spawn\PDAActions\Contacts\CloseContacts\Anims\Bike
[20677] \Global\Scooter\Interactions\VehiclePDASpawn\Spawn\Spawn\PDAActions\Contacts\CloseContacts\Anims\Default
[20676] \Global\Scooter\Interactions\VehiclePDASpawn\Spawn\Spawn\PDAActions\Contacts\CloseContacts\Anims\Scooter
[20678] \Global\Scooter\Interactions\VehiclePDASpawn\Spawn\Spawn\PDAActions\Contacts\Talk
[20679] \Global\Scooter\Interactions\VehiclePDASpawn\Spawn\Spawn\PDAActions\Contacts\Talk\Anims\Bike
[20681] \Global\Scooter\Interactions\VehiclePDASpawn\Spawn\Spawn\PDAActions\Contacts\Talk\Anims\Default
[20680] \Global\Scooter\Interactions\VehiclePDASpawn\Spawn\Spawn\PDAActions\Contacts\Talk\Anims\Scooter
[20682] \Global\Scooter\Interactions\VehiclePDASpawn\Spawn\Spawn\PDAActions\Contacts\Talk\Hangup
[20683] \Global\Scooter\Interactions\VehiclePDASpawn\Spawn\Spawn\PDAActions\Contacts\Talk\Hangup\Anims\Bike
[20685] \Global\Scooter\Interactions\VehiclePDASpawn\Spawn\Spawn\PDAActions\Contacts\Talk\Hangup\Anims\Default
[20684] \Global\Scooter\Interactions\VehiclePDASpawn\Spawn\Spawn\PDAActions\Contacts\Talk\Hangup\Anims\Scooter
[20716] \Global\Scooter\Interactions\VehiclePDASpawn\Spawn\Spawn\PDAActions\Idle
[20717] \Global\Scooter\Interactions\VehiclePDASpawn\Spawn\Spawn\PDAActions\Idle\Anims\Bike
[20719] \Global\Scooter\Interactions\VehiclePDASpawn\Spawn\Spawn\PDAActions\Idle\Anims\Default
[20718] \Global\Scooter\Interactions\VehiclePDASpawn\Spawn\Spawn\PDAActions\Idle\Anims\Scooter
[20694] \Global\Scooter\Interactions\VehiclePDASpawn\Spawn\Spawn\PDAActions\IncomingText\DismissText
[20686] \Global\Scooter\Interactions\VehiclePDASpawn\Spawn\Spawn\PDAActions\OutgoingText\Cycle
[20687] \Global\Scooter\Interactions\VehiclePDASpawn\Spawn\Spawn\PDAActions\OutgoingText\Cycle\Anims\Bike
[20689] \Global\Scooter\Interactions\VehiclePDASpawn\Spawn\Spawn\PDAActions\OutgoingText\Cycle\Anims\Default
[20688] \Global\Scooter\Interactions\VehiclePDASpawn\Spawn\Spawn\PDAActions\OutgoingText\Cycle\Anims\Scooter
[20690] \Global\Scooter\Interactions\VehiclePDASpawn\Spawn\Spawn\PDAActions\OutgoingText\Cycle\PutPhoneAway
[20691] \Global\Scooter\Interactions\VehiclePDASpawn\Spawn\Spawn\PDAActions\OutgoingText\Cycle\PutPhoneAway\Anims\Bike
[20693] \Global\Scooter\Interactions\VehiclePDASpawn\Spawn\Spawn\PDAActions\OutgoingText\Cycle\PutPhoneAway\Anims\Default
[20692] \Global\Scooter\Interactions\VehiclePDASpawn\Spawn\Spawn\PDAActions\OutgoingText\Cycle\PutPhoneAway\Anims\Scooter
[20695] \Global\Scooter\Interactions\VehiclePDASpawn\Spawn\Spawn\PDAActions\PhoneCall\Talk
[20696] \Global\Scooter\Interactions\VehiclePDASpawn\Spawn\Spawn\PDAActions\PhoneCall\Talk\Anims\Bike
[20699] \Global\Scooter\Interactions\VehiclePDASpawn\Spawn\Spawn\PDAActions\PhoneCall\Talk\Anims\Default
[20698] \Global\Scooter\Interactions\VehiclePDASpawn\Spawn\Spawn\PDAActions\PhoneCall\Talk\Anims\Passenger
[20697] \Global\Scooter\Interactions\VehiclePDASpawn\Spawn\Spawn\PDAActions\PhoneCall\Talk\Anims\Scooter
[20700] \Global\Scooter\Interactions\VehiclePDASpawn\Spawn\Spawn\PDAActions\PhoneCall\Talk\Hangup
[20701] \Global\Scooter\Interactions\VehiclePDASpawn\Spawn\Spawn\PDAActions\PhoneCall\Talk\Hangup\Anims\Bike
[20703] \Global\Scooter\Interactions\VehiclePDASpawn\Spawn\Spawn\PDAActions\PhoneCall\Talk\Hangup\Anims\Default
[20702] \Global\Scooter\Interactions\VehiclePDASpawn\Spawn\Spawn\PDAActions\PhoneCall\Talk\Hangup\Anims\Scooter
[20669] \Global\Scooter\Interactions\VehiclePDASpawn\Spawn\Spawn\PDAEquip\ContactList
[20667] \Global\Scooter\Interactions\VehiclePDASpawn\Spawn\Spawn\PDAEquip\IncomingTextMsg
[20666] \Global\Scooter\Interactions\VehiclePDASpawn\Spawn\Spawn\PDAEquip\OutgoingTextMsg
[20668] \Global\Scooter\Interactions\VehiclePDASpawn\Spawn\Spawn\PDAEquip\PhoneCall
[20720] \Global\Scooter\Interactions\VehiclePDASpawn\Spawn\Spawn\PDAIDLE
[20728] \Global\Scooter\Interactions\VehiclePDASpawn\Spawn\TracePDA\Into
[20730] \Global\Scooter\Interactions\VehiclePDASpawn\Spawn\TracePDA\Into\TraceExit
[20729] \Global\Scooter\Interactions\VehiclePDASpawn\Spawn\TracePDA\Into\TraceIdle
[20727] \Global\Scooter\Interactions\VehiclePDASpawn\Spawn\UIPDADestroyMsg
[20726] \Global\Scooter\Interactions\VehiclePDASpawn\Spawn\Utility\ClearPhone
[20721] \Global\Scooter\Interactions\VehiclePDASpawn\Spawn\Utility\CreatePhone
[20722] \Global\Scooter\Interactions\VehiclePDASpawn\Spawn\Utility\CreatePhone\Anims\Bike
[20725] \Global\Scooter\Interactions\VehiclePDASpawn\Spawn\Utility\CreatePhone\Anims\Default
[20724] \Global\Scooter\Interactions\VehiclePDASpawn\Spawn\Utility\CreatePhone\Anims\Passenger
[20723] \Global\Scooter\Interactions\VehiclePDASpawn\Spawn\Utility\CreatePhone\Anims\Scooter
[20349] \Global\Scooter\Object\Dismount
[20340] \Global\Scooter\Object\EMPed
[20330] \Global\Scooter\Object\Idle
[20338] \Global\Scooter\Object\Idle\0x299CCA1F\0x9E4D295E
[20339] \Global\Scooter\Object\Idle\0x299CCA1F\Idle
[20336] \Global\Scooter\Object\Idle\InteractionPoints\OnFrontOrRearEnd
[20333] \Global\Scooter\Object\Idle\InteractionPoints\OnSide
[20335] \Global\Scooter\Object\Idle\InteractionPoints\OnSide\SeatSelection\SeatBlocked
[20334] \Global\Scooter\Object\Idle\InteractionPoints\OnSide\SeatSelection\SeatUnblocked
[20337] \Global\Scooter\Object\Idle\InteractionPoints\Upright
[20331] \Global\Scooter\Object\Idle\Untargetable\On
[20332] \Global\Scooter\Object\Idle\Untargetable\On\Off
[20328] \Global\Scooter\Object\Locked
[20329] \Global\Scooter\Object\Locked\Unlock
[20347] \Global\Scooter\Object\Stimuli\DamageStimuli\Fire
[20348] \Global\Scooter\Object\Stimuli\DamageStimuli\Smoking
[20344] \Global\Scooter\Object\Stimuli\JumpStimulus
[20345] \Global\Scooter\Object\Stimuli\JumpStimulus\BigAirJumpStimulus
[20346] \Global\Scooter\Object\Stimuli\JumpStimulus\Exit
[20343] \Global\Scooter\Object\Stimuli\WheelieStimulus
[20341] \Global\Scooter\Object\VehicleStimuli\Dangerous
[20342] \Global\Scooter\Object\VehicleStimuli\Safe
