[19427] \Global\Missions\AMMission\Bow\Exit
[19735] \Global\Missions\TE\CrouchHide\LoadCrouchHide\CrouchHide\Peek
[19736] \Global\Missions\TE\CrouchHide\LoadStand
[19737] \Global\Missions\TE\CrouchHide\LoadStand\Stand
[19746] \Global\Missions\TE\GuitarHero\GuitarPlayer
[19747] \Global\Missions\TE\GuitarHero\Spectator
[19723] \Global\Missions\TE\Hide\LoadHideIdle
[19724] \Global\Missions\TE\Hide\LoadHideIdle\HideIdle
[19725] \Global\Missions\TE\Hide\LoadHideIdle\HideIdle\Peek
[19726] \Global\Missions\TE\Hide\LoadHideIdle\LowerArm
[19745] \Global\Missions\TE\InjuredIdle\Default
[19744] \Global\Missions\TE\InjuredWalk\Default
[19743] \Global\Missions\TE\Scaff_Drop\DropScaff
[19751] \Global\Missions\TE\Shotgun_Search
[19741] \Global\Missions\TE\Sit\Exit
[19742] \Global\Missions\TE\Sit\Exit\Stand
[19738] \Global\Missions\TE\Sit\LoadSit
[19739] \Global\Missions\TE\Sit\LoadSit\Sit
[19740] \Global\Missions\TE\Sit\LoadSit\Sit\SitIdle
[19748] \Global\Missions\TE\Strangle_Thug\Strangle_GIV
[19749] \Global\Missions\TE\Strangle_Thug\Strangle_RCV
[19750] \Global\Missions\TE\Thug_LookForPlayer
[19663] \Global\Missions\TE\WorkLightStrangle\StrangleGIV
[19665] \Global\Missions\TE\WorkLightStrangle\StrangleOBJ
[19664] \Global\Missions\TE\WorkLightStrangle\StrangleRCV
[19759] \Global\Missions\TGA\FallOutofVehicle
[19762] \Global\Missions\TGA\FallOutofVehicle\Anims\Minibus
[19763] \Global\Missions\TGA\FallOutofVehicle\Anims\Other
[19760] \Global\Missions\TGA\FallOutofVehicle\Anims\Truck
[19761] \Global\Missions\TGA\FallOutofVehicle\Anims\Van
[19764] \Global\Missions\TGA\FallOutofVehicle\Vehicle\Minibus
[19767] \Global\Missions\TGA\FallOutofVehicle\Vehicle\Other
[19766] \Global\Missions\TGA\FallOutofVehicle\Vehicle\Truck
[19765] \Global\Missions\TGA\FallOutofVehicle\Vehicle\Van
[19758] \Global\Missions\TGA\Unconscious
[19755] \Global\Missions\TG\Pendrew_Point\01
[19756] \Global\Missions\TG\Pendrew_Point\02
[19757] \Global\Missions\TG\Pendrew_Point\03
[19752] \Global\Missions\TG\RagdollBody\RagdollTracks
[19754] \Global\Missions\TG\RagdollBody\RagdollTracks\Facing\FaceDWN
[19753] \Global\Missions\TG\RagdollBody\RagdollTracks\Facing\FaceUp
[19769] \Global\Missions\TNB\ThreatenShoot\Front\GrapGIV
[19770] \Global\Missions\TNB\ThreatenShoot\Front\GrapRCV
[19768] \Global\Missions\TNB\ThreatenShoot\Front\Loading
[19771] \Global\Missions\TNB\ThreatenShoot\Idle\GrapGIV
[19772] \Global\Missions\TNB\ThreatenShoot\Idle\GrapRCV
[19774] \Global\Missions\TNB\ThreatenShoot\Shoot\GrapGIV
[19775] \Global\Missions\TNB\ThreatenShoot\Shoot\GrapRCV
[19773] \Global\Missions\TNB\ThreatenShoot\Shoot\Loading
[19776] \Global\Missions\TNB\Thug_Dies_Shooting\Default
[19777] \Global\Missions\TNB\Thug_Harass\Hostage\GrapGIV
[19778] \Global\Missions\TNB\Thug_Harass\Hostage\GrapRCV
[19799] \Global\Missions\Utility\RotateClockwiseGenerator
[19812] \Global\Missions\Utility\RotateClockwiseGenerator\GenerateRotateClockwise\ClockwiseGeneration
[19809] \Global\Missions\Utility\RotateClockwiseGenerator\GenerateRotateClockwise\Tick0
[19810] \Global\Missions\Utility\RotateClockwiseGenerator\GenerateRotateClockwise\Tick1
[19811] \Global\Missions\Utility\RotateClockwiseGenerator\GenerateRotateClockwise\Tick2
[19803] \Global\Missions\Utility\RotateClockwiseGenerator\GenerateTick\InitInput\InitInputDown
[19801] \Global\Missions\Utility\RotateClockwiseGenerator\GenerateTick\InitInput\InitInputFwd
[19804] \Global\Missions\Utility\RotateClockwiseGenerator\GenerateTick\InitInput\InitInputLeft
[19802] \Global\Missions\Utility\RotateClockwiseGenerator\GenerateTick\InitInput\InitInputRight
[19807] \Global\Missions\Utility\RotateClockwiseGenerator\GenerateTick\InputSequence\InputDown
[19805] \Global\Missions\Utility\RotateClockwiseGenerator\GenerateTick\InputSequence\InputFwd
[19808] \Global\Missions\Utility\RotateClockwiseGenerator\GenerateTick\InputSequence\InputLeft
[19806] \Global\Missions\Utility\RotateClockwiseGenerator\GenerateTick\InputSequence\InputRight
[19800] \Global\Missions\Utility\RotateClockwiseGenerator\GenerateTick\WaitForInitInput
[19779] \Global\Missions\VE\FaceMeterTut
[19780] \Global\Missions\ZOD\HelpWeiUp\GrapGIV
[19781] \Global\Missions\ZOD\HelpWeiUp\GrapRCV
[19782] \Global\Missions\ZOD\WeiCollapse\Collapse\0xF623DC65
[19784] \Global\Missions\ZOD\WeiCollapse\Collapse\FollowUp\0xE1E6B70E
[19783] \Global\Missions\ZOD\WeiCollapse\Collapse\FollowUp\0xFFA1E70B
[19785] \Global\Missions\ZOD\WeiCollapse\Downed
